station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BUS;01.06.1984 00:00;15.8;28.4;6.6;16.4;5.3;31.1;73;12.8;972;;;;;;;;;69.1;231;;;;12486;48;;6.4;42.9;2.9;1
BUS;01.07.1984 00:00;18.3;33.1;6.6;19.3;5.3;37.4;71.7;14.8;974.2;;;;;1.5;14.7;5.4;52.9;99.2;242;;;;15947;61;117.5;43.7;0;0;5.6
BUS;01.08.1984 00:00;17.1;30.7;8.2;17.5;6.7;34.2;79.9;15.2;972.8;;;;;1;14.5;3.6;52.2;65.7;172;;;;10625;44;81.8;4.8;0;0;29.2
BUS;01.09.1984 00:00;13.2;29.1;6.7;13.3;5.3;33.1;84;12.7;968.4;1014;;;;1.5;23.9;5.4;86;176.7;107;;;;6166;30;48.8;3.7;107.4;19.4;155.8
BUS;01.10.1984 00:00;10.1;20.1;1.1;9.7;-0.8;24.5;85.9;10.6;974.3;1020.7;;;;1.2;15.4;4.3;55.4;48.8;75;;;;5344;30;29.1;0;260.6;68.6;37.4
BUS;01.11.1984 00:00;5.5;17;-1.3;4.9;-3.5;15.9;90.1;8.2;967.2;1014.1;;;;1.2;22.8;4.3;82.1;61.8;34;;;;2128;15;15.2;0;422.1;198.1;58.2
BUS;01.12.1984 00:00;1.8;7.7;-5.6;1.2;-8.4;8.4;89.9;6.3;977.7;1025.8;;;;1.1;13.7;4;49.3;54.9;23;;;;1612;13;9;0;565.6;317.6;53.7
BUS;01.01.1985 00:00;-5.4;7.2;-23.4;-6.6;-29.4;6.6;86.6;4;967.3;1016.2;;;;1.4;13.9;5;50;48.6;36;;;;2286;17;7.7;0;786;538;46.2
BUS;01.02.1985 00:00;-0.5;12.3;-14.6;-1.5;-20.1;13.2;80.8;5.3;974.9;1023.2;;;;1.7;12.4;6.1;44.6;34.4;69;;;;5195;35;17.3;0;572.6;348.6;30.9
BUS;01.03.1985 00:00;3.8;17.6;-6.5;3.5;-7.9;18.1;79.5;6.3;969.1;1016.4;;;;1.9;18.8;6.8;67.7;25;96;;;;4847;24;35.8;0;502.1;254.1;11.8
BUS;01.04.1985 00:00;8.6;23.6;-0.8;8.5;-3.3;26.8;75.1;8.2;968.6;1015;;;;2.3;22.4;8.3;80.6;128.9;161;;;;9484;42;62.2;0;313.7;105.7;87.3
BUS;01.05.1985 00:00;13.2;28.7;0.3;13.9;-2.4;35.3;77.7;11.7;966.5;1012.1;;;;1.7;16.8;6.1;60.5;105;177;;;;8627;34;82.3;0.9;123.6;27.6;68.2
BUS;01.06.1985 00:00;15.1;28.2;4.6;16;2.8;35.1;74.4;12.6;971;1016.5;;;;1.8;17.3;6.5;62.3;98.1;206;;;;10204;39;96.2;7.8;35.7;3.7;42.3
BUS;01.07.1985 00:00;19.4;33.8;9.2;20.4;7.3;39.1;74.1;16.2;973.2;1018.1;;;;1.4;15;5;54;59;233;;;;15310;59;117.1;44.8;0;0;-20.1
BUS;01.08.1985 00:00;17.5;33.6;5.5;18.2;3.5;38.1;74.9;14.4;972.8;1017.9;;;;1.2;17;4.3;61.2;76.9;205;;;;14448;60;98.4;26.7;8.4;0.4;10.1
BUS;01.09.1985 00:00;15.1;27.9;2.9;14.9;1.2;32.9;78.3;13.1;976.9;1022.6;;;;1;16.8;3.6;60.5;26.4;155;;;;13042;63;62.8;0;34.1;2.1;-12.9
BUS;01.10.1985 00:00;9.5;26.5;-1;9.1;-5.1;31;80;9.7;978.9;1025.6;;;;1;13.7;3.6;49.3;17.6;83;;;;7307;41;33;0;281.6;105.6;-16.3
BUS;01.11.1985 00:00;1.6;17;-7.9;0.7;-12.8;16.3;83.2;6;969.5;1017.2;;;;1.4;15.4;5;55.4;88.8;33;;;;1732;12;14.1;0;550.7;310.7;98.4
BUS;01.12.1985 00:00;2.4;12;-6.3;0.9;-10.2;11.6;84.9;6.3;974.2;1022;;;;1.2;13;4.3;46.8;54.3;36;;;;3528;29;9.8;0;546.5;298.5;50.5
BUS;01.01.1986 00:00;1.2;10.6;-10.8;0.4;-11.8;9.7;82.4;5.6;967;1014.6;;;;2.7;24.1;9.7;86.8;122;37;;;;2556;19;16;0;581.8;333.8;120.2
BUS;01.02.1986 00:00;-4.5;5;-15.2;-4.7;-19.7;6;79.3;3.6;965.6;1014.3;;;;1.3;9.1;4.7;32.8;39.6;60;;;;1640;11;13.1;0;687.4;463.4;36.5
BUS;01.03.1986 00:00;3.3;15.6;-10.7;2.6;-16.3;20.4;78.3;6.1;971.1;1018.7;;;;1.8;25;6.5;90;55.7;111;;;;6230;31;36.3;0;516.9;268.9;41.1
BUS;01.04.1986 00:00;6.7;18.7;-5.8;7;-7.5;24;79.9;8;965.1;1011.6;;;;1.6;14.5;5.8;52.2;125;105;;;;4085;18;42.6;0;390.3;158.3;106.9
BUS;01.05.1986 00:00;14.7;28.6;4.8;15.6;1.9;34.2;76.2;12.6;973.3;1018.9;;;;1.1;14.7;4;52.9;146.3;180;;;;8997;35;83.5;2;51.9;11.9;103.9
BUS;01.06.1986 00:00;16.5;31.3;3.4;17.8;0.8;40;72.3;13.4;971.9;1017.1;;;;1.4;14.2;5;51.1;198.5;218;;;;13023;50;104.3;37.2;82.9;18.9;123.7
BUS;01.07.1986 00:00;18.1;31.4;5.5;19.3;3;38.6;69;13.7;973.4;1018.5;;;;1.4;15.4;5;55.4;81.4;221;;;;14346;55;112.1;35.5;0;0;-7.8
BUS;01.08.1986 00:00;17.5;34.6;6.9;18.6;4.2;39.9;74.1;14.6;971.5;1016.5;;;;1.2;14;4.3;50.4;144.1;175;;;;10901;46;87.9;32.7;25.7;1.7;89.5
BUS;01.09.1986 00:00;14;26.8;3.3;14.2;-0.1;33.5;75.9;12.1;975.4;1021.3;;;;1.1;19.7;4;70.9;29.2;128;;;;9280;45;56.4;2.8;53.8;5.8;-6.7
BUS;01.10.1986 00:00;10.8;23.4;-0.7;10;-4.8;26.2;82.1;10.6;975.5;1021.9;;;;1.4;25.2;5;90.7;81;82;;;;6627;37;33.9;0;186.1;58.1;65
BUS;01.11.1986 00:00;4.6;12.9;-3.8;3.2;-8.7;12.8;85;7.3;978.2;1025.8;;;;1;13.3;3.6;47.9;34.7;47;;;;4422;32;13.2;0;462.5;222.5;28.2
BUS;01.12.1986 00:00;1.7;9.1;-15.6;1.4;-22;8.8;85.4;6;976.4;1024.4;;;;2.5;20.1;9;72.4;93.5;27;;;;1211;10;14.1;0;568.3;320.3;91.2
BUS;01.01.1987 00:00;-3.8;10.9;-23.1;-3.7;-21.7;10.4;82.9;4.2;972.6;1021.5;;;;1.8;19.2;6.5;69.1;39.4;31;;;;2131;16;11.1;0;736.7;488.7;38
BUS;01.02.1987 00:00;1.2;12.5;-7.6;1.1;-9;14.5;86.4;5.9;969.3;1017.1;;;;1.4;12.8;5;46.1;84.3;39;;;;867;6;14.3;0;525.6;301.6;79.2
BUS;01.03.1987 00:00;1.9;15.5;-8.9;1.7;-11.3;22.6;75.3;5.5;971.8;1019.5;;;;2.2;18.4;7.9;66.2;53.3;104;;;;5478;27;36;0;560.5;312.5;42.4
BUS;01.04.1987 00:00;9.7;24.9;-1.4;10.1;-5.7;34.1;71.2;8.4;972.6;1019;;;;1.6;12.3;5.8;44.3;67.8;173;;;;10772;48;69.5;0;254.3;86.3;21.5
BUS;01.05.1987 00:00;10.1;23.3;0;11;-2.7;31.1;76.2;9.2;970.5;1016.7;;;;1.7;17;6.1;61.2;108.9;167;;;;7739;30;74;0;245.4;77.4;68
BUS;01.06.1987 00:00;14.4;31;6.1;15.6;2.6;38.3;79.8;13;971.6;1017.2;;;;1.6;14.3;5.8;51.5;182.4;173;;;;7397;28;82.6;10.2;72.4;8.4;143.5
BUS;01.07.1987 00:00;18.9;29.9;8.4;19.3;5.5;33.9;74.5;16;971.5;1016.4;;;;1.4;17;5;61.2;127.9;201;;;;10352;40;107.9;46.8;0;0;70
BUS;01.08.1987 00:00;17.6;31.7;8.6;17.7;5.8;35;74.7;14.7;972;1017;;;;1.3;12.7;4.7;45.7;86.5;177;;;;11194;47;90.6;25.8;0;0;31.4
BUS;01.09.1987 00:00;16.9;31.3;2;16.4;-1.3;33;77.1;14.8;973.9;1019.2;;;;1.1;11.5;4;41.4;151.5;139;;;;10866;53;66.8;20;44.1;12.1;113.7
BUS;01.10.1987 00:00;10.6;22.5;1.7;10.2;-1.3;22.5;85.1;10.8;970.8;1017;;;;1.2;18.1;4.3;65.2;38.5;63;;;;3561;20;30.1;0;266.2;50.2;28.3
BUS;01.11.1987 00:00;5.7;15.9;-0.9;4.9;-5.4;19.3;84.5;7.8;971.7;1018.7;;;;1.8;24.6;6.5;88.6;79.8;33;;;;1968;14;18.2;0;430.5;190.5;74.6
BUS;01.12.1987 00:00;2.8;14.7;-5.1;2.1;-8.9;16.3;84.2;6.6;975.9;1023.7;;;;1.7;14.3;6.1;51.5;53.4;18;;;;731;6;14;0;534.1;286.1;49.2
BUS;01.01.1988 00:00;3.5;13;-3.5;2.7;-7.4;14;85.7;6.8;968.6;1015.9;;;;2.1;20.8;7.6;74.9;75.4;31;;;;2136;16;15.9;0;511.4;263.4;76.9
BUS;01.02.1988 00:00;1.8;10.1;-5.2;1.1;-9.1;12.5;81.8;5.7;970.3;1018.1;;;;2.3;21.7;8.3;78.1;66.7;68;;;;4551;29;20.8;0;528.5;296.5;58.2
BUS;01.03.1988 00:00;3.8;15.7;-9.2;3.6;-12.9;19.4;80.3;6.6;969;1016.2;;;;2.7;20;9.7;72;214.6;86;;;;3785;19;33.4;0;502.2;254.2;205.2
BUS;01.04.1988 00:00;9.5;23.1;-1.5;10;-5.7;30.5;73.8;8.6;969.1;1015.4;;;;1.5;12.1;5.4;43.6;42.5;156;;;;8990;40;62.7;0;290.4;82.4;3.4
BUS;01.05.1988 00:00;14.7;25.8;4.5;16.1;0.4;35.6;72.9;12;967.8;1013.1;;;;1.5;18.2;5.4;65.5;68.7;193;;;;9991;39;93.2;0;43.5;3.5;15.2
BUS;01.06.1988 00:00;16.2;26.2;7.5;17.9;3.9;34.9;73.2;13.1;969.7;1014.9;;;;1.3;16.3;4.7;58.7;86.2;212;;;;11734;45;102.7;3.1;30.4;6.4;22.3
BUS;01.07.1988 00:00;18.1;33.8;8.9;19.9;5.7;41.8;73.3;14.8;972;1017;;;;1.4;23.8;5;85.7;119.2;212;;;;14244;55;110.8;25.5;0;0;43.1
BUS;01.08.1988 00:00;18;30.3;7.7;19.3;4.7;41;78.3;15.9;971.2;1016.2;;;;1.2;16;4.3;57.6;92.9;166;;;;11810;49;86.2;38.7;0;0;41.5
BUS;01.09.1988 00:00;14;25.1;6;14.4;2.7;31.9;80.4;12.8;974.6;1020.4;;;;1.5;16.9;5.4;60.8;88.9;121;;;;8643;42;55.7;2.6;68.5;12.5;57.6
BUS;01.10.1988 00:00;10.8;23.2;0.3;10.1;-6.3;25.4;86.6;11.3;973.2;1019.5;;;;1.3;16.1;4.7;58;139.6;62;;;;4510;25;28.5;0;218.7;50.7;132.1
BUS;01.11.1988 00:00;3.2;12.7;-11;2.1;-17.5;14.8;84.9;6.8;977;1024.8;;;;1.1;12.8;4;46.1;44;40;;;;2952;21;12.9;0;505.1;265.1;37.8
BUS;01.12.1988 00:00;3;11.5;-5.7;2.4;-9.5;11.5;86.5;6.7;979.3;1027.2;;;;1.7;21.3;6.1;76.7;95.4;23;;;;1446;12;12.6;0;526.1;278.1;93.1
BUS;01.01.1989 00:00;1.5;10;-4.2;1.1;-8.1;11.5;86.2;6;986.4;1035;;;;1.5;12.1;5.4;43.6;12;32;;;;2007;15;12.7;0;573.4;325.4;11.1
BUS;01.02.1989 00:00;2.6;14.3;-4.1;2.3;-7.5;14;85.7;6.4;975.6;1023.5;;;;1.7;18.2;6.1;65.5;113.8;51;;;;2804;19;17.7;0;488;264;107
BUS;01.03.1989 00:00;7.8;23.8;-2.7;7.1;-7.1;26;73.2;7.6;972.1;1018.9;;;;2;15.1;7.2;54.4;55.8;122;;;;9981;50;48.7;0;353;137;35.3
BUS;01.04.1989 00:00;7.6;19.1;0.3;7.6;-3.3;23.6;79.5;8.2;964;1010.4;;;;1.8;16.2;6.5;58.3;130.1;108;;;;4214;19;48.1;0;364.6;132.6;112
BUS;01.05.1989 00:00;14.9;27.7;0.5;15.2;-3;33.9;64.5;10.5;973.8;1019.4;;;;1.8;14.5;6.5;52.2;24.7;229;;;;16191;64;110;2.3;57.1;9.1;-69
BUS;01.06.1989 00:00;15.9;29.1;4.4;16.7;0.6;36.9;67.6;11.7;972.1;1017.5;;;;1.5;13.9;5.4;50;83.8;239;;;;13856;53;111;10.6;55.1;7.1;-3.3
BUS;01.07.1989 00:00;18.6;31.7;7.3;19.3;3.9;35.8;75.8;15.8;974.3;1019.3;;;;1.3;13.7;4.7;49.3;151.6;207;;;;11205;43;105.2;31.7;0;0;87.6
BUS;01.08.1989 00:00;17.6;33;4.1;18;0.5;36.5;76.5;15.2;971.4;1016.5;;;;1.2;25.7;4.3;92.5;67;191;;;;12702;53;92.3;25.2;16.7;0.7;14.2
BUS;01.09.1989 00:00;14.1;27.3;2.7;14.1;-0.3;31.5;81.2;13;974;1019.8;;;;1.1;11.8;4;42.5;58.5;129;;;;8500;41;55.2;0;62.9;6.9;31.2
BUS;01.10.1989 00:00;9.7;21.4;0.5;8.9;-3.9;24.7;83.8;10;976.2;1022.8;;;;1.2;14.2;4.3;51.1;85.2;90;;;;7579;42;32.5;0;299;75;70
BUS;01.11.1989 00:00;2.7;16.9;-7.9;1.9;-12.2;19.3;86.1;6.6;972.5;1020.2;;;;1.2;13;4.3;46.8;20.3;42;;;;3024;22;13.3;0;511.9;279.9;15.1
BUS;01.12.1989 00:00;2.2;15.4;-5.5;1.4;-10.2;17.1;84.3;6.3;971.1;1018.8;;;;1.7;18.8;6.1;67.7;81.6;26;;;;1777;14;13.6;0;553.3;305.3;78.8
BUS;01.01.1990 00:00;0.5;11;-4.7;0.1;-8.5;11.1;87;5.6;979.1;1027.5;;;;1.7;20.9;6.1;75.2;37.2;33;;;;1838;14;13.2;0;603.3;355.3;36.2
BUS;01.02.1990 00:00;5.5;18.2;-4.6;3.9;-11.1;21.2;81.1;7.3;972.7;1019.9;;;;2.6;27.1;9.4;97.6;155;68;;;;6005;40;25.8;0;405.4;181.4;142.6
BUS;01.03.1990 00:00;7.2;22.6;-4.5;5.8;-11.5;24.8;73.9;7.4;982.1;1029.4;;;;1.6;21.2;5.8;76.3;28.7;112;;;;8482;42;44.6;0;384.9;152.9;15.9
BUS;01.04.1990 00:00;7.4;20.6;-1.1;6.9;-4.8;25.1;76.7;7.8;969;1015.7;;;;1.7;13.8;6.1;49.7;59.7;125;;;;6036;27;51.2;0;372.8;140.8;32.5
BUS;01.05.1990 00:00;14.9;24.6;1.6;14.9;-4.2;31.5;70.9;11.7;973.3;1018.9;;;;1.3;12.7;4.7;45.7;54.7;220;;;;14393;57;101.5;0;16.9;0.9;-20.9
BUS;01.06.1990 00:00;15.5;29.5;4.6;15.8;-0.5;35.1;78.9;13.6;970.6;1015.9;;;;1.4;17.5;5;63;196.3;186;;;;9020;35;89.2;11.8;19.2;3.2;147
BUS;01.07.1990 00:00;18.8;34.4;5.4;19;1.3;40.5;66.8;13.8;974.1;1019.1;;;;1.6;13.8;5.8;49.7;74.4;242;;;;15713;60;124.7;47.9;0;0;-26.9
BUS;01.08.1990 00:00;18.9;33.2;7.4;19.1;2.1;38.3;69.5;14.6;974.8;1019.7;;;;1.3;15.6;4.7;56.2;70.1;193;;;;14317;60;101.8;42.5;0;0;-11.7
BUS;01.09.1990 00:00;13.5;24.1;3.7;13.3;-0.9;29.3;76.9;11.8;973.4;1019.2;;;;1.6;18.1;5.8;65.2;63.8;133;;;;8947;43;58.1;0;55.1;7.1;26.5
BUS;01.10.1990 00:00;11;23.9;0.2;10.3;-4.8;27.5;85.7;11.4;969.4;1015.4;;;;1.2;19.4;4.3;69.8;89.9;72;;;;5232;29;31.1;0;227.7;59.7;82.3
BUS;01.11.1990 00:00;4.8;14.5;-2.2;4.1;-8.2;15.8;86.2;7.5;969.9;1017.1;;;;1.8;18.3;6.5;65.9;147.2;34;;;;1849;13;16.8;0;455.5;215.5;142.9
BUS;01.12.1990 00:00;0.7;10.2;-7;-0.2;-11.7;9.4;81.6;5.4;972.7;1020.8;;;;1.8;16.4;6.5;59;71.8;30;;;;2555;21;11.7;0;599.2;351.2;67.9
BUS;01.01.1991 00:00;1.3;15.4;-7.1;0.8;-10.7;15.8;83.8;5.8;979.1;1027.3;;;;2.1;16.1;7.6;58;62.2;23;;;;1126;8;14.9;0;578.7;330.7;61.4
BUS;01.02.1991 00:00;-2;14.8;-16.8;-2.8;-21.4;18.2;84.2;4.6;971.9;1020.4;;;;1.3;18;4.7;64.8;28.3;76;;;;4801;32;15.2;0;616.4;392.4;24.7
BUS;01.03.1991 00:00;6.9;18.1;-5.4;6.3;-7.3;22.1;82.7;8.3;968.7;1015.4;;;;1.4;13.8;5;49.7;62.6;80;;;;4080;20;33.4;0;405.2;157.2;51
BUS;01.04.1991 00:00;7.9;19.5;-3.4;7.5;-9.3;25.9;69.1;7.1;970.5;1017.1;;;;1.5;12;5.4;43.2;31.2;170;;;;10140;45;63.8;0;355.9;123.9;-14.7
BUS;01.05.1991 00:00;10.2;24.4;0.2;10.3;-3.8;31.6;72.7;8.7;973.2;1019.5;;;;1.5;14.9;5.4;53.6;99.7;189;;;;10759;42;80;0;247.6;79.6;39.3
BUS;01.06.1991 00:00;15;27.9;4.8;15.5;0.5;34.1;76.7;12.9;970.9;1016.3;;;;1.6;19.3;5.8;69.5;152.8;191;;;;9063;35;90.8;9;44.3;4.3;106
BUS;01.07.1991 00:00;20;33.4;8.1;20.8;3.2;40.2;72.5;16.3;972;1016.7;;;;1.4;18.3;5;65.9;62.9;234;;;;15042;58;123.9;64.4;0;0;-19.1
BUS;01.08.1991 00:00;19.8;33.3;8.1;20.2;3;40.4;67.7;14.9;974.3;1019.1;;;;1.2;10.5;4.3;37.8;7.2;212;;;;15777;66;108.8;52.5;0;0;-81.1
BUS;01.09.1991 00:00;16.4;28.7;5.8;16.4;1.3;36.6;75.5;13.6;972.1;1017.4;;;;1.2;18.1;4.3;65.2;91.9;146;;;;10819;53;67;4.4;27.9;3.9;45.7
BUS;01.10.1991 00:00;8.4;19.8;-3.8;7.9;-8.5;24.2;85.5;9.6;972.3;1018.9;;;;1.3;16.1;4.7;58;55.5;77;;;;5304;30;28.9;0;329.7;113.7;44
BUS;01.11.1991 00:00;4.2;17;-2.7;3.8;-6.1;17.6;86.6;7.2;970.9;1018.2;;;;1.8;17.8;6.5;64.1;97.7;30;;;;1771;13;16.7;0;467.2;235.2;93.7
BUS;01.12.1991 00:00;-0.2;10.8;-6.7;-0.7;-9.5;11.2;83.9;5.2;983.3;1032.1;;;;2.1;20.2;7.6;72.7;107.8;25;;;;1749;14;12.3;0;626.9;378.9;104.8
BUS;01.01.1992 00:00;-1;9.6;-11.3;-1.6;-13.8;9.3;83.7;4.9;983.6;1032.5;;;;1.4;12.2;5;43.9;14.6;41;;;;2849;21;10.6;0;650.3;402.3;13
BUS;01.02.1992 00:00;1.3;13;-12.9;0.4;-20.2;15.2;83.8;5.8;980.6;1028.9;;;;1.7;16.5;6.1;59.4;71.1;71;;;;4849;31;18;0;542.3;310.3;66.9
BUS;01.03.1992 00:00;5.7;16.9;-3.1;5;-6.4;20.1;76.7;6.9;971.7;1018.8;;;;2.1;20.2;7.6;72.7;81.5;105;;;;6609;33;39.9;0;443;195;63
BUS;01.04.1992 00:00;8.6;26;-1.8;8.3;-5.8;27.5;71.7;7.9;968.6;1015.1;;;;1.9;22.2;6.8;79.9;110.7;154;;;;8838;39;64;0;313.4;113.4;71.9
BUS;01.05.1992 00:00;15;29;1.4;15.1;-2.4;34.8;68.4;11.3;972.9;1018.5;;;;1.4;15.3;5;55.1;39.7;215;;;;12540;49;102.4;3.6;51.2;11.2;-31.6
BUS;01.06.1992 00:00;16.4;28.8;7.4;17;2.2;34.4;75;13.5;968.6;1013.7;;;;1.5;12.9;5.4;46.4;134.6;199;;;;8934;34;98.4;11.5;17.2;1.2;83.7
BUS;01.07.1992 00:00;19.2;32.7;11.7;19.9;8.8;38.2;75.7;16.3;973;1017.8;;;;1.2;20.8;4.3;74.9;94.4;210;;;;11767;45;109.3;52.7;0;0;31.8
BUS;01.08.1992 00:00;20.4;33.8;9.3;21.1;4.5;41.5;73.1;16.9;971.5;1016.1;;;;1.2;16.4;4.3;59;89.4;196;;;;13787;58;104.7;79.2;0;0;18.6
BUS;01.09.1992 00:00;14.2;24.6;2.9;14.3;-1.2;31.2;82.9;13.3;974.9;1020.6;;;;1.1;16.1;4;58;48.2;118;;;;7660;37;52;0;38.5;6.5;26.2
BUS;01.10.1992 00:00;8.3;18.8;-2.4;8.3;-5.2;23.9;84.6;9.4;964.8;1011.1;;;;1.8;18.7;6.5;67.3;119.5;47;;;;1723;10;25.7;0;328.4;120.4;112.7
BUS;01.11.1992 00:00;6.9;13.5;-1.3;6.6;-5.1;15.1;87.2;8.8;973.9;1020.8;;;;2.3;16.4;8.3;59;180.5;26;;;;1145;8;16.9;0;391.8;151.8;177.2
BUS;01.12.1992 00:00;0.9;11.9;-5.8;1;-7.3;11.2;88.7;6;974.4;1022.5;;;;1.4;14.6;5;52.6;87.6;17;;;;890;7;11.1;0;591.7;343.7;86
BUS;01.01.1993 00:00;3;14.8;-11.9;2.8;-14;14.3;80.3;6.5;981.5;1029.5;;;;2.1;19.4;7.6;69.8;35;34;;;;2791;21;18.2;0;525.7;277.7;32.6
BUS;01.02.1993 00:00;0;11.2;-9.5;0.4;-10.5;15.4;82.5;5.1;981.7;1030.3;;;;1.5;18;5.4;64.8;11.8;53;;;;3330;22;15.8;0;559.6;335.6;8.1
BUS;01.03.1993 00:00;4.4;20.5;-8.1;4.6;-9;23.8;71.1;6;975.7;1023.2;;;;1.3;13.8;4.7;49.7;18.5;124;;;;9679;48;40.7;0;482.5;234.5;-8.6
BUS;01.04.1993 00:00;10.5;26.7;-1.3;10.5;-4.1;31.9;72.1;8.8;967;1013;;;;1.6;15.2;5.8;54.7;72.9;163;;;;9886;44;71;0;221.5;77.5;26.1
BUS;01.05.1993 00:00;14.7;29.4;6.2;15.1;3.1;32.9;74.5;12.1;969.1;1014.5;;;;1.3;16.3;4.7;58.7;120;199;;;;10728;42;94.6;4.1;37;5;72.3
BUS;01.06.1993 00:00;17.2;30.9;7.4;17.7;4.2;34.4;74.4;14.2;971.9;1017.1;;;;1.5;14.3;5.4;51.5;109.6;208;;;;11067;42;101.2;19.9;8.2;0.2;49.1
BUS;01.07.1993 00:00;17.1;31.7;6.6;17.6;2.7;35.1;77.1;14.8;973.4;1018.6;;;;1.3;14.5;4.7;52.2;243.3;194;;;;10621;41;96.9;24.2;26.2;2.2;188.7
BUS;01.08.1993 00:00;17.4;31.5;3.8;17.7;1.8;34.6;78.2;15.3;973.8;1019;;;;1.1;14.6;4;52.6;145.1;188;;;;13213;55;91.6;28.5;24.9;0.9;90
BUS;01.09.1993 00:00;13.2;26.3;3.9;13.3;1.3;30;84.2;12.8;968.4;1014.1;;;;1.2;16.1;4.3;58;102.8;113;;;;6373;31;48.7;0;94.6;14.6;82.9
BUS;01.10.1993 00:00;8.3;17.9;2.3;8.3;0.2;21.7;86.8;9.6;969.5;1016;;;;1.3;16.7;4.7;60.1;100.1;47;;;;2119;12;24.8;0;347.4;115.4;93.4
BUS;01.11.1993 00:00;1.8;12.9;-6.8;1.9;-9.5;13.3;84.2;6.2;974.2;1022.1;;;;1.4;19.7;5;70.9;36.6;25;;;;821;6;14.7;0;547.1;307.1;32.3
BUS;01.12.1993 00:00;4.1;15.6;-5.1;3.9;-6;15.5;82;6.8;968.9;1016.1;;;;3.1;21.2;11.2;76.3;142.4;26;;;;1559;13;20.5;0;485.6;245.6;127.3
BUS;01.01.1994 00:00;3;12.4;-6.5;2.9;-8.8;14.6;82.9;6.4;971.6;1019.2;;;;2.1;26.2;7.6;94.3;137.4;34;;;;2702;20;16.3;0;526.7;278.7;147.8
BUS;01.02.1994 00:00;2.2;12.7;-5.8;2;-7.1;15.4;82.3;6.1;969.2;1016.8;;;;1.4;13.4;5;48.2;33.4;49;;;;1892;13;17.1;0;497.8;273.8;30
BUS;01.03.1994 00:00;9.2;21.9;-2.1;9.2;-4.7;25.2;72.8;8.4;975.4;1022.1;;;;2.4;18.1;8.6;65.2;67.6;100;;;;6236;31;50;0;302;94;50.8
BUS;01.04.1994 00:00;7.8;24.9;-1.6;8.3;-4.9;28.4;76.9;8.1;967.3;1013.8;;;;1.9;16.2;6.8;58.3;99.1;128;;;;6673;30;54;0;338.5;138.5;70.7
BUS;01.05.1994 00:00;13.6;24.5;4.6;14.3;0.1;31.9;78;12;968.6;1014.2;;;;1.3;21.1;4.7;76;232.1;160;;;;8076;32;77.3;0;62.7;6.7;193.9
BUS;01.06.1994 00:00;17.4;29.8;4.7;17.8;0.6;33.7;72.6;14.3;974.2;1019.4;;;;1.6;21;5.8;75.6;87.3;226;;;;12857;49;110.7;32.8;38;6;18.5
BUS;01.07.1994 00:00;21.5;33.4;11.5;21.9;8.9;37.5;71.8;17.7;972.5;1017;;;;1.1;14.9;4;53.6;71.2;232;;;;14783;57;124.2;100.5;0;0;-11.1
BUS;01.08.1994 00:00;19.4;34.5;9.3;20.1;7;40.2;76.9;16.9;971.3;1016.1;;;;1.1;20;4;72;110.2;185;;;;12113;51;95.7;52.8;0;0;51.7
BUS;01.09.1994 00:00;14;25.5;2.7;14.3;0.3;28.7;84;13.5;970.6;1016.2;;;;1.2;17;4.3;61.2;119.4;105;;;;5257;26;47.6;0.6;64.9;16.9;103.3
BUS;01.10.1994 00:00;9.5;22.2;-0.2;9.4;-3.8;26.4;83.7;10.1;972.3;1018.7;;;;1.2;13.3;4.3;47.9;54.8;81;;;;6586;37;30;0;299.5;91.5;40.6
BUS;01.11.1994 00:00;8.2;13.6;0.6;8.2;-2.3;15.9;88.7;9.7;975.9;1022.8;;;;1.1;12.4;4;44.6;33.6;29;;;;721;5;14.4;0;355.4;115.4;30.5
BUS;01.12.1994 00:00;4;13.3;-2.8;4.3;-6.6;16.2;84.8;7.1;977.2;1024.9;;;;1.8;18.4;6.5;66.2;128.2;24;;;;1823;15;12.7;0;496.6;248.6;125.3
BUS;01.01.1995 00:00;0;11;-14;0.3;-20.6;13.6;83.2;5.3;973;1021.2;;;;2.5;24.9;9;89.6;164.9;38;;;;3010;23;14.8;0;621;373;163.5
BUS;01.02.1995 00:00;5.3;15.4;-2.5;5.2;-6.9;19.3;80;7.1;971.5;1018.6;;;;2.2;21.5;7.9;77.4;92.7;59;;;;4075;27;23.4;0;411.2;187.2;88.8
BUS;01.03.1995 00:00;3.9;17.5;-5.1;3.1;-10.2;19.3;72.9;5.8;970.4;1017.7;;;;2.4;21.8;8.6;78.5;110.7;115;;;;8430;42;41.1;0;498.1;250.1;85.6
BUS;01.04.1995 00:00;9.4;21.9;-0.7;9.2;-4.9;25.1;72.9;8.6;970.6;1017;;;;1.8;16.3;6.5;58.7;50.2;154;;;;8289;37;62.8;0;260.4;84.4;19.6
BUS;01.05.1995 00:00;13.1;26.3;0.2;13;-2.8;31.3;72.4;10.6;970.3;1016.1;;;;1.5;14.4;5.4;51.8;214.4;193;;;;10897;43;87.4;0.4;124;28;139.8
