station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ATT;01.09.1993 00:00;1.7;11.2;-6.7;;;;;;;;;;;3.5;27.3;;98.3;;;;;;;;;;;309.2;
ATT;01.10.1993 00:00;-1.3;5.1;-12.1;;;;;;;;;;;3.6;31.9;;114.8;;;;;;;;;;;413.5;
ATT;01.11.1993 00:00;-5.4;2.3;-16.8;;;;;;;;;;;2.6;19.3;;69.5;;;;;;;;;;;522.7;
ATT;01.12.1993 00:00;-6.6;5.3;-18.4;;;;;;;;;;;5.5;32.4;;116.6;;;;;;;;;;;577.3;
ATT;01.01.1994 00:00;-6.6;0.8;-17;;;;;;;;;;;4.7;31.7;;114.1;;;;;;;;;;;577.6;
ATT;01.02.1994 00:00;-8.1;4.3;-18.5;;;;;;;;;;;3.8;29.8;;107.3;;;;;;;;;;;563.5;
ATT;01.03.1994 00:00;-2.8;4.4;-12.5;;;;;;;;;;;3.9;22.4;;80.6;;;;;;;;;;;457.6;
ATT;01.04.1994 00:00;-6.1;5;-16.1;;;;;;;;;;;3.3;24.5;;88.2;;;;;;;;;;;544.4;
ATT;01.05.1994 00:00;1.1;8.3;-6.6;;;;;;;;;;;3.5;27.9;;100.4;;;;;;;;;;;338.3;
ATT;01.06.1994 00:00;4.3;15;-7.4;;;;;;;;;;;3.1;28.5;;102.6;;;;;;;;;;;231.7;
ATT;01.07.1994 00:00;9.1;17.9;1.6;;;;;;;;;;;2.5;19.6;;70.6;;;;;;;;;;;94.7;
ATT;01.08.1994 00:00;7.9;16.5;-0.3;;;;;;;;;;;3.7;22.1;;79.6;;;;;;;;;;;128.4;
ATT;01.09.1994 00:00;2.4;12.4;-9.5;;;;;;;;;;;4.2;31.3;15.1;112.7;;;;;;;;;;;287;
ATT;01.10.1994 00:00;0.6;9;-8.3;;;;;;;;;;;3.2;20.9;;75.2;;;;;;;;;;;354.5;
ATT;01.11.1994 00:00;-0.1;;;;;;;;;;;;;3.6;;;;;;;;;;;;;;;
ATT;01.12.1994 00:00;-4.6;;;;;;;;;;;;;3.7;;13.3;;;;;;;;;;;;482.4;
ATT;01.01.1995 00:00;-8.3;;;;;;;;;;;;;6.1;;22;;;;;;;;;;;;587.4;
ATT;01.02.1995 00:00;-4.9;1.7;-14.2;;;;;;;;;;;4.6;26.7;;96.1;;;;;;;;;;;472.3;
ATT;01.03.1995 00:00;-7.9;1.5;-20;;;;;;;;;;;4.9;30.9;;111.2;;;;;;;;;;;616.6;
ATT;01.04.1995 00:00;-3.1;5.1;-12.4;;;;;;;;;;;3.5;34;;122.4;;;;;;;;;;;452;
ATT;01.05.1995 00:00;-0.1;7.5;-9.5;;;;;;;;;;;2.8;19.3;;69.5;;;;;;;;;;;374.2;
ATT;01.06.1995 00:00;1.9;11.8;-6.2;;;;;;;;;;;2.4;14.5;;52.2;;;;;;;;;;;304.1;
ATT;01.07.1995 00:00;8.2;17;0.5;;;;;;;;;;;2.4;15.8;;56.9;;;;;;;;;;;119.6;
ATT;01.08.1995 00:00;4.9;13.1;-5.2;;;;;;;;;;;2.1;23.3;;83.9;;;;;;;;;;;219.3;
ATT;01.09.1995 00:00;0.3;7.1;-8.3;;;;;;;;;;;3.1;;11.2;;;;;;;;;;;;338.3;
ATT;01.10.1995 00:00;3.7;9.6;-2.3;;;;;;;;;;;2.3;18.7;;67.3;;;;;;;;;;;258.6;
ATT;01.11.1995 00:00;-4.2;3;-17.2;;;;;;;;;;;3.7;24.6;;88.6;;;;;;;;;;;486.2;
ATT;01.12.1995 00:00;-6.8;1.6;-19.4;;;;;;;;;;;4.4;25.4;;91.4;;;;;;;;;;;582;
ATT;01.01.1996 00:00;-4.7;7.9;-11.1;;;;;;;;;;;3.5;34.2;;123.1;;;;;;;;;;;518;
ATT;01.02.1996 00:00;-10.5;-2.4;-19.2;;;;;;;;;;;4.1;29.6;;106.6;;;;;;;;;;;653.9;
ATT;01.03.1996 00:00;-7.6;3.3;-17.5;;;;;;;;;;;3.1;20.2;;72.7;;;;;;;;;;;606.9;
ATT;01.04.1996 00:00;-3.5;3.4;-15.1;;;;;;;;;;;2.5;25.8;;92.9;;;;;;;;;;;464.4;
ATT;01.05.1996 00:00;0.3;10.5;-9;;;;;;;;;;;3.3;25.4;;91.4;;;;;;;;;;;362.8;
ATT;01.08.1996 00:00;5;12.6;-2.3;;;;;;;;;;;2.4;16.5;;59.4;;;;;;;;;;;217.3;
ATT;01.09.1996 00:00;2.7;12.3;-6.9;;;;;;;;;;;2.5;18.2;9;65.5;;;;;;;;;;;278.6;
ATT;01.11.1996 00:00;-2;40.5;-16.3;;;;;;;;;;;5.4;43.9;19.4;158;;;;;;;;;;;418.6;
ATT;01.12.1996 00:00;-4.3;12;-19.6;;;;;;;;;;;3.7;26;;93.6;;;;;;;;;;;504.3;
ATT;01.01.1997 00:00;-6;1.6;-49.5;;;;;;;;;;;3.6;28.4;13;102.2;;;;;;;;;;;559.1;
ATT;01.02.1997 00:00;-5;3.1;-17;;;;;;;;;;;4.8;37.5;;135;;;;;;;;;;;476.5;
ATT;01.03.1997 00:00;-3.8;3.8;-15.8;;;;;;;;;;;3;23.4;;84.2;;;;;;;;;;;488.3;
ATT;01.04.1997 00:00;-4.4;1.7;-14.4;;;;;;;;;;;2.7;17.8;;64.1;;;;;;;;;;;492.4;
ATT;01.05.1997 00:00;0.9;8;-11.1;;;;;;;;;;;3.8;23.6;;85;;;;;;;;;;;342.8;
ATT;01.06.1997 00:00;3;12;-3.7;;;;;;;;;;;3.8;28.1;;101.2;;;;;;;;;;;271.4;
ATT;01.07.1997 00:00;4.7;13.5;-2.6;;;;;;;;;;;2.6;19.7;;70.9;;;;;;;;;;;225.2;
ATT;01.08.1997 00:00;7.4;14.4;-3.6;;;;;;;;;;;2.3;20.4;;73.4;;;;;;;;;;;141.2;
ATT;01.09.1997 00:00;6.6;13.8;-2.8;;;;;;;;;;;2.3;19.6;;70.6;;;;;;;;;;;163.1;
ATT;01.10.1997 00:00;0.9;10;-11.3;;;;;;;;;;;2.9;31.9;;114.8;;;;;;;;;;;343.6;
ATT;01.11.1997 00:00;-3.6;4.9;-10.3;;;;;;;;;;;3.6;34.7;;124.9;;;;;;;;;;;469.2;
ATT;01.12.1997 00:00;-7.2;2.7;-17.1;;;;;;;;;;;4.1;32.7;;117.7;;;;;;;;;;;595.2;
ATT;01.01.1998 00:00;-6.6;4.6;-18.2;;;;;;;;;;;4.7;37.5;;135;;;;;;;;;;;577.5;
ATT;01.02.1998 00:00;-2.4;6.8;-12.4;;;;;;;;;;;3;20.4;10.8;73.4;;;;;;;;;;;403.7;
ATT;01.03.1998 00:00;-5.7;3.6;-19.6;;;;;;;;;;;4.1;29.9;14.8;107.6;;;;;;;;;;;532.3;
ATT;01.04.1998 00:00;-5.3;4.8;-16.8;;;;;;;;;;;4;;14.4;;;;;;;;;;;;501.5;
ATT;01.05.1998 00:00;1.5;;;;;;;;;;;;;2.2;;;;;;;;;;;;;;;
ATT;01.06.1998 00:00;4.7;16.1;-9.1;;;;;;;;;;;3.4;;12.2;;;;;;;;;;;;220.6;
ATT;01.07.1998 00:00;6.8;16.8;-3.6;;;;;;;;;;;3.4;24.8;12.2;89.3;;;;;;;;;;;161.8;
ATT;01.08.1998 00:00;7.6;18.3;-3.4;;;;;;;;;;;2.9;22.1;;79.6;;;;;;;;;;;140.7;
ATT;01.09.1998 00:00;2.6;13.8;-8;;;;;;;;;;;3.6;19.9;;71.6;;;;;;;;;;;282.7;
ATT;01.10.1998 00:00;-1.2;6.2;-11.1;;;;;;;;;;;4;40.6;;146.2;;;;;;;;;;;408.4;
ATT;01.11.1998 00:00;-7.4;3.9;-18.7;;;;;;;;;;;3.7;29.5;13.3;106.2;;;;;;;;;;;543;
ATT;01.12.1998 00:00;-6.5;5.3;-19.5;;;;;;;;;;;3.8;29.8;13.7;107.3;;;;;;;;;;;572.2;
ATT;01.01.1999 00:00;-6.8;6.7;-24.4;;;;;;;;;;;4.9;38.1;17.6;137.2;;;;;;;;;;;582.9;
ATT;01.02.1999 00:00;-9.6;7.2;-23.2;;;;;;;;;;;5.5;35.6;;128.2;;;;;;;;;;;606;
