station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BAS;01.01.1755 00:00;-5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1755 00:00;-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1755 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1755 00:00;13.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1755 00:00;10.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1755 00:00;18.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1755 00:00;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1755 00:00;15.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1755 00:00;12.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1755 00:00;8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1755 00:00;4.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1755 00:00;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1756 00:00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1756 00:00;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1756 00:00;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1756 00:00;6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1756 00:00;11.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1756 00:00;18.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1756 00:00;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1756 00:00;16.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1756 00:00;14.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1756 00:00;8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1756 00:00;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1756 00:00;-2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1757 00:00;-2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1757 00:00;-0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1757 00:00;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1757 00:00;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1757 00:00;13.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1757 00:00;17.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1757 00:00;19.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1757 00:00;16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1757 00:00;11.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1757 00:00;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1757 00:00;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1757 00:00;-0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1758 00:00;-5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1758 00:00;-0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1758 00:00;4.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1758 00:00;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1758 00:00;14.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1758 00:00;17.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1758 00:00;14.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1758 00:00;16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1758 00:00;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1758 00:00;6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1758 00:00;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1758 00:00;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1759 00:00;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1759 00:00;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1759 00:00;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1759 00:00;9.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1759 00:00;13.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1759 00:00;16.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1759 00:00;20.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1759 00:00;17.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1759 00:00;14.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1759 00:00;10.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1759 00:00;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1759 00:00;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1760 00:00;-0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1760 00:00;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1760 00:00;2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1760 00:00;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1760 00:00;14.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1760 00:00;17.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1760 00:00;18.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1760 00:00;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1760 00:00;14.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1760 00:00;9.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1760 00:00;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1760 00:00;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1761 00:00;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1761 00:00;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1761 00:00;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1761 00:00;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1761 00:00;14.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1761 00:00;17.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1761 00:00;18.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1761 00:00;18.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1761 00:00;15.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1761 00:00;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1761 00:00;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1761 00:00;-3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1762 00:00;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1762 00:00;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1762 00:00;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1762 00:00;11.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1762 00:00;15.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1762 00:00;16.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1762 00:00;20.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1762 00:00;17.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1762 00:00;13.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1762 00:00;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1762 00:00;2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1762 00:00;-4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1763 00:00;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1763 00:00;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1763 00:00;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1763 00:00;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1763 00:00;11.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1763 00:00;16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1763 00:00;18.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1763 00:00;19.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1763 00:00;13.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1763 00:00;7.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1763 00:00;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1763 00:00;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1764 00:00;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1764 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1764 00:00;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1764 00:00;7.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1764 00:00;15.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1764 00:00;17.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1764 00:00;19.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1764 00:00;16.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1764 00:00;12.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1764 00:00;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1764 00:00;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1764 00:00;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1765 00:00;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1765 00:00;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1765 00:00;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1765 00:00;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1765 00:00;13.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1765 00:00;18.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1765 00:00;17.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1765 00:00;17.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1765 00:00;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1765 00:00;9.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1765 00:00;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1765 00:00;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1766 00:00;-7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1766 00:00;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1766 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1766 00:00;10.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1766 00:00;14.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1766 00:00;16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1766 00:00;17.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1766 00:00;18.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1766 00:00;14.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1766 00:00;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1766 00:00;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1766 00:00;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1767 00:00;-5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1767 00:00;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1767 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1767 00:00;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1767 00:00;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1767 00:00;15.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1767 00:00;18.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1767 00:00;18.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1767 00:00;14.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1767 00:00;8.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1767 00:00;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1767 00:00;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1768 00:00;-3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1768 00:00;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1768 00:00;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1768 00:00;9.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1768 00:00;14.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1768 00:00;16.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1768 00:00;18.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1768 00:00;17.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1768 00:00;13.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1768 00:00;9.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1768 00:00;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1768 00:00;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1769 00:00;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1769 00:00;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1769 00:00;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1769 00:00;9.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1769 00:00;14.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1769 00:00;15.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1769 00:00;18.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1769 00:00;17.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1769 00:00;14.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1769 00:00;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1769 00:00;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1769 00:00;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1770 00:00;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1770 00:00;-0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1770 00:00;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1770 00:00;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1770 00:00;13.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1770 00:00;15.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1770 00:00;16.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1770 00:00;18.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1770 00:00;16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1770 00:00;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1770 00:00;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1770 00:00;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1771 00:00;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1771 00:00;-0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1771 00:00;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1771 00:00;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1771 00:00;16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1771 00:00;15.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1771 00:00;19.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1771 00:00;17.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1771 00:00;14.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1771 00:00;9.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1771 00:00;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1771 00:00;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1772 00:00;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1772 00:00;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1772 00:00;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1772 00:00;8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1772 00:00;12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1772 00:00;18.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1772 00:00;18.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1772 00:00;18.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1772 00:00;16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1772 00:00;11.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1772 00:00;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1772 00:00;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1773 00:00;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1773 00:00;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1773 00:00;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1773 00:00;8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1773 00:00;13.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1773 00:00;16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1773 00:00;16.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1773 00:00;17.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1773 00:00;15.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1773 00:00;10.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1773 00:00;4.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1773 00:00;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1774 00:00;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1774 00:00;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1774 00:00;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1774 00:00;10.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1774 00:00;13.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1774 00:00;17.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1774 00:00;17.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1774 00:00;19.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1774 00:00;14.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1774 00:00;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1774 00:00;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1774 00:00;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1775 00:00;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1775 00:00;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1775 00:00;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1775 00:00;8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1775 00:00;12.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1775 00:00;18.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1775 00:00;18.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1775 00:00;18.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1775 00:00;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1775 00:00;9.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1775 00:00;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1775 00:00;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1776 00:00;-5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1776 00:00;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1776 00:00;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1776 00:00;9.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1776 00:00;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1776 00:00;16.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1776 00:00;18.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1776 00:00;18.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1776 00:00;12.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1776 00:00;9.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1776 00:00;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1776 00:00;-0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1777 00:00;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1777 00:00;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1777 00:00;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1777 00:00;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1777 00:00;12.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1777 00:00;15.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1777 00:00;17.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1777 00:00;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1777 00:00;14.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1777 00:00;10.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1777 00:00;4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1777 00:00;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1778 00:00;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1778 00:00;-0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1778 00:00;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1778 00:00;10.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1778 00:00;14.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1778 00:00;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1778 00:00;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1778 00:00;18.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1778 00:00;12.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1778 00:00;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1778 00:00;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1778 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1779 00:00;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1779 00:00;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1779 00:00;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1779 00:00;11.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1779 00:00;14.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
