station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
MUB;01.01.1981 00:00;;;;;;;;;;;;;;1.8;;6.5;;;;;;;;;;;;;
MUB;01.02.1981 00:00;;;;;;;;;;;;;;1.2;;4.3;;;;;;;;;;;;;
MUB;01.03.1981 00:00;;;;;;;;;;;;;;1.2;;4.3;;;;;;;;;;;;;
MUB;01.04.1981 00:00;;;;;;;;;;;;;;1.6;;5.8;;;;;;;;;;;;;
MUB;01.05.1981 00:00;;;;;;;;;;;;;;1.2;;4.3;;;;;;;;;;;;;
MUB;01.06.1981 00:00;;;;;;;;;;;;;;1.3;;4.7;;;;;;;;;;;;;
MUB;01.07.1981 00:00;;;;;;;;;;;;;;1;;3.6;;;;;;;;;;;;;
MUB;01.08.1981 00:00;;;;;;;;;;;;;;1.2;;4.3;;;;;;;;;;;;;
MUB;01.09.1981 00:00;;;;;;;;;;;;;;0.9;;3.2;;;;;;;;;;;;;
MUB;01.10.1981 00:00;;;;;;;;;;;;;;1.3;;4.7;;;;;;;;;;;;;
MUB;01.11.1981 00:00;;;;;;;;;;;;;;1.3;;4.7;;;;;;;;;;;;;
MUB;01.12.1981 00:00;;;;;;;;;;;;;;1.8;;6.5;;;;;;;;;;;;;
MUB;01.01.1982 00:00;;;;;;;;;;;;;;1.2;;4.3;;;;;;;;;;;;;
MUB;01.02.1982 00:00;;;;;;;;;;;;;;0.9;;3.2;;;;;;;;;;;;;
MUB;01.03.1982 00:00;;;;;;;;;;;;;;1.5;;5.4;;;;;;;;;;;;;
MUB;01.04.1982 00:00;;;;;;;;;;;;;;2.2;;7.9;;;;;;;;;;;;;
MUB;01.05.1982 00:00;;;;;;;;;;;;;;1.4;;5;;;;;;;;;;;;;
MUB;01.06.1982 00:00;;;;;;;;;;;;;;1.3;;4.7;;;;;;;;;;;;;
MUB;01.07.1982 00:00;;;;;;;;;;;;;;1.1;;4;;;;;;;;;;;;;
MUB;01.08.1982 00:00;;;;;;;;;;;;;;0.9;;3.2;;;;;;;;;;;;;
MUB;01.09.1982 00:00;;;;;;;;;;;;;;0.8;;2.9;;;;;;;;;;;;;
MUB;01.10.1982 00:00;;;;;;;;;;;;;;1.1;;4;;;;;;;;;;;;;
MUB;01.11.1982 00:00;;;;;;;;;;;;;;1.1;;4;;;;;;;;;;;;;
MUB;01.12.1982 00:00;;;;;;;;;;;;;;1.4;;5;;;;;;;;;;;;;
MUB;01.01.1983 00:00;;;;;;;;;;;;;;1.6;;5.8;;;;;;;;;;;;;
MUB;01.02.1983 00:00;;;;;;;;;;;;;;1.7;;6.1;;;;;;;;;;;;;
MUB;01.03.1983 00:00;;;;;;;;;;;;;;1.5;;5.4;;;;;;;;;;;;;
MUB;01.04.1983 00:00;;;;;;;;;;;;;;1.7;;6.1;;;;;;;;;;;;;
MUB;01.05.1983 00:00;;;;;;;;;;;;;;1.4;;5;;;;;;;;;;;;;
MUB;01.06.1983 00:00;;;;;;;;;;;;;;1.3;;4.7;;;;;;;;;;;;;
MUB;01.07.1983 00:00;;;;;;;;;;;;;;1;;3.6;;;;;;;;;;;;;
MUB;01.08.1983 00:00;;;;;;;;;;;;;;1.2;;4.3;;;;;;;;;;;;;
MUB;01.09.1983 00:00;;;;;;;;;;;;;;1.2;;4.3;;;;;;;;;;;;;
